ID,ESP,ING,POR,FRA,ITA,RUS,JPN,KOR
mode_1sec,MODO 1S\n,1S MODE\n,MODO 1S\n,MODE 1 S\n,MODALITÀ 1S\n,РЕЖИМ 1С\n,1秒モード\n,1초 모드\n
mode_10sec,MODO 10S\n,10S MODE\n,MODO 10S\n,MODE 10 S\n,MODALITÀ 10S\n,РЕЖИМ 10С\n,10秒モード\n,10초 모드\n
mode_20sec,MODO 20S\n,20S MODE\n,MODO 20S\n,MODE 20 S\n,MODALITÀ 20S\n,РЕЖИМ 20С\n,20秒モード\n,20초 모드\n
mode_30sec,MODO 30S\n,30S MODE\n,MODO 30S\n,MODE 30 S\n,MODALITÀ 30S\n,РЕЖИМ 30С\n,30秒モード\n,30초 모드\n
mode_60sec,MODO 60S\n,60S MODE\n,MODO 60S\n,MODE 60 S\n,MODALITÀ 60S\n,РЕЖИМ 60С\n,60秒モード\n,60초 모드\n
mode_custom,SEGUNDO(s)\nPERSONALIZADO(s) = ,SECOND(s)\nCUSTOM(s) = ,SEGUNDO(s)\nPERSONALIZADO(s) = ,SEC.(s)\nPERSO.(s) = ,SEC.(i)\nPERS.(i) = ,СЕК.(с)\nПОЛЬЗ.(с) = ,秒\nカスタム秒数 = ,초\n사용자 지정 초 =
sec,sec\n,sec\n,seg\n,sec\n,sec\n,сек\n,秒\n,초\n
limit_value,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
valid_value,AÑADE UN \nDATO VALIDO...,ADD A \nVALID VALUE...,ADICIONE UM \nDADO VÁLIDO...,AJOUTEZ UNE \nVALEUR VALIDE...,INSERISCI UN \nVALORE VALIDO...,ВВЕДИТЕ \nДОПУСТИМОЕ ЗНАЧЕНИЕ...,有効な\n値を入力してください...,유효한\n값을 입력하세요...
activated,ACTIVADO,ACTIVATED,ATIVADO,ACTIVÉ,ATTIVO,АКТИВИРОВАНО,有効,활성화됨
solo_mode,MODO SOLITARIO\n,MODO SOLO\n,MODO SOLO\n,MODE SOLO\n,MODALITÀ SOLITARIO\n,ОДИНОЧНЫЙ РЕЖИМ\n,ソロモード\n,싱글 플레이 모드\n
mode_1c1,MODO 1C1\n,1V1 MODE\n,MODO 1V1\n,MODE 1V1\n,1V1\n,РЕЖИМ 1 НА 1\n,1対1モード\n,1대1 모드\n
mode_2c2,MODO 2C2\n,2V2 MODE\n,MODO 2V2\n,MODE 2V2\n,2V2\n,РЕЖИМ 2 НА 2\n,2対2モード\n,2대2 모드\n
mode_t3,MODO 3 PLAYERS\n,3 PLAYER MODE\n,MODO 3 JOGADORES\n,MODE 3 JOUEURS\n,3 GIOCATORI\n,РЕЖИМ 3 ИГРОКОВ\n,3人モード\n,3인 플레이어 모드\n
mode_t4,MODO 4 PLAYERS\n,4 PLAYER MODE\n,MODO 4 JOGADORES\n,MODE 4 JOUEURS\n,4 GIOCATORI\n,РЕЖИМ 4 ИГРОКОВ\n,4人モード\n,4인 플레이어 모드\n
deactivated,APAGADO,OFF,DESLIGADO,DÉSACTIVÉ,DISATTIVO,ОТКЛЮЧЕНО,無効,비활성화됨
best_clicks,Mejor clicks,Best clicks,Melhores cliques,Meilleurs clics,Migliori click,Лучшие клики,最高クリック数,최고 클릭 수
best_cps,Mejor CPS,Best CPS,Melhor CPS,Meilleur CPS,Miglior CPS,Лучший CPS,最高CPS,최고 CPS
player_1,Jugador 1,Player 1,Jogador 1,Joueur 1,Giocatore 1,Игрок 1,プレイヤー1,플레이어 1
player_2,Jugador 2,Player 2,Jogador 2,Joueur 2,Giocatore 2,Игрок 2,プレイヤー2,플레이어 2
player_3,Jugador 3,Player 3,Jogador 3,Joueur 3,Giocatore 3,Игрок 3,プレイヤー3,플레이어 3
